Date,Store_ID,Pot_Type,Qty_Sold
2025-01-01,HH,small_beef,214
2025-01-01,HH,small_lamb,134
2025-01-01,HH,big_taiwanese,101
2025-01-02,HH,small_beef,90
2025-01-02,HH,small_lamb,57
2025-01-02,HH,big_taiwanese,41
2025-01-03,HH,small_beef,111
2025-01-03,HH,small_lamb,77
2025-01-03,HH,big_taiwanese,44
2025-01-04,HH,small_beef,138
2025-01-04,HH,small_lamb,90
2025-01-04,HH,big_taiwanese,70
2025-01-05,HH,small_beef,202
2025-01-05,HH,small_lamb,123
2025-01-05,HH,big_taiwanese,82
2025-01-06,HH,small_beef,112
2025-01-06,HH,small_lamb,74
2025-01-06,HH,big_taiwanese,52
2025-01-07,HH,small_beef,113
2025-01-07,HH,small_lamb,73
2025-01-07,HH,big_taiwanese,59
2025-01-08,HH,small_beef,122
2025-01-08,HH,small_lamb,69
2025-01-08,HH,big_taiwanese,50
2025-01-09,HH,small_beef,137
2025-01-09,HH,small_lamb,86
2025-01-09,HH,big_taiwanese,59
2025-01-10,HH,small_beef,170
2025-01-10,HH,small_lamb,111
2025-01-10,HH,big_taiwanese,90
2025-01-11,HH,small_beef,164
2025-01-11,HH,small_lamb,120
2025-01-11,HH,big_taiwanese,85
2025-01-12,HH,small_beef,176
2025-01-12,HH,small_lamb,124
2025-01-12,HH,big_taiwanese,78
2025-01-13,HH,small_beef,110
2025-01-13,HH,small_lamb,76
2025-01-13,HH,big_taiwanese,61
2025-01-14,HH,small_beef,123
2025-01-14,HH,small_lamb,79
2025-01-14,HH,big_taiwanese,54
2025-01-15,HH,small_beef,131
2025-01-15,HH,small_lamb,79
2025-01-15,HH,big_taiwanese,49
2025-01-16,HH,small_beef,131
2025-01-16,HH,small_lamb,87
2025-01-16,HH,big_taiwanese,50
2025-01-17,HH,small_beef,175
2025-01-17,HH,small_lamb,125
2025-01-17,HH,big_taiwanese,89
2025-01-18,HH,small_beef,186
2025-01-18,HH,small_lamb,125
2025-01-18,HH,big_taiwanese,89
2025-01-19,HH,small_beef,170
2025-01-19,HH,small_lamb,101
2025-01-19,HH,big_taiwanese,84
2025-01-20,HH,small_beef,120
2025-01-20,HH,small_lamb,67
2025-01-20,HH,big_taiwanese,65
2025-01-21,HH,small_beef,122
2025-01-21,HH,small_lamb,71
2025-01-21,HH,big_taiwanese,52
2025-01-22,HH,small_beef,116
2025-01-22,HH,small_lamb,60
2025-01-22,HH,big_taiwanese,50
2025-01-23,HH,small_beef,122
2025-01-23,HH,small_lamb,84
2025-01-23,HH,big_taiwanese,63
2025-01-24,HH,small_beef,210
2025-01-24,HH,small_lamb,108
2025-01-24,HH,big_taiwanese,97
2025-01-25,HH,small_beef,165
2025-01-25,HH,small_lamb,109
2025-01-25,HH,big_taiwanese,76
2025-01-26,HH,small_beef,213
2025-01-26,HH,small_lamb,149
2025-01-26,HH,big_taiwanese,102
2025-01-27,HH,small_beef,150
2025-01-27,HH,small_lamb,98
2025-01-27,HH,big_taiwanese,74
2025-01-28,HH,small_beef,155
2025-01-28,HH,small_lamb,89
2025-01-28,HH,big_taiwanese,67
2025-01-29,HH,small_beef,132
2025-01-29,HH,small_lamb,82
2025-01-29,HH,big_taiwanese,66
2025-01-30,HH,small_beef,153
2025-01-30,HH,small_lamb,83
2025-01-30,HH,big_taiwanese,64
2025-01-31,HH,small_beef,173
2025-01-31,HH,small_lamb,131
2025-01-31,HH,big_taiwanese,87
2025-02-01,HH,small_beef,187
2025-02-01,HH,small_lamb,118
2025-02-01,HH,big_taiwanese,86
2025-02-02,HH,small_beef,204
2025-02-02,HH,small_lamb,124
2025-02-02,HH,big_taiwanese,82
2025-02-03,HH,small_beef,127
2025-02-03,HH,small_lamb,74
2025-02-03,HH,big_taiwanese,46
2025-02-04,HH,small_beef,136
2025-02-04,HH,small_lamb,75
2025-02-04,HH,big_taiwanese,70
2025-02-05,HH,small_beef,159
2025-02-05,HH,small_lamb,93
2025-02-05,HH,big_taiwanese,68
2025-02-06,HH,small_beef,134
2025-02-06,HH,small_lamb,88
2025-02-06,HH,big_taiwanese,59
2025-02-07,HH,small_beef,219
2025-02-07,HH,small_lamb,124
